iter	Passed	Remaining
0	0	89
1	1	85
2	2	79
3	3	73
4	3	71
5	4	70
6	5	69
7	6	69
8	6	69
9	7	68
10	8	68
11	9	67
12	9	66
13	10	65
14	11	65
15	12	64
16	13	63
17	13	63
18	14	62
19	15	61
20	16	60
21	16	59
22	17	59
23	18	58
24	19	57
25	19	56
26	20	55
27	21	54
28	22	54
29	22	53
30	23	52
31	24	52
32	25	51
33	26	50
34	26	50
35	27	49
36	28	48
37	29	47
38	30	46
39	30	46
40	31	45
41	31	43
42	32	43
43	33	42
44	34	41
45	34	40
46	35	40
47	36	39
48	37	38
49	37	37
50	38	37
51	39	36
52	40	35
53	40	34
54	41	33
55	42	33
56	42	32
57	43	31
58	44	30
59	45	30
60	45	29
61	46	28
62	47	27
63	48	27
64	48	26
65	49	25
66	50	24
67	51	24
68	51	23
69	52	22
70	53	21
71	54	21
72	55	20
73	55	19
74	56	18
75	57	18
76	58	17
77	58	16
78	59	15
79	60	15
80	61	14
81	61	13
82	62	12
83	63	12
84	64	11
85	65	10
86	66	9
87	67	9
88	68	8
89	69	7
90	70	6
91	71	6
92	72	5
93	72	4
94	73	3
95	74	3
96	75	2
97	75	1
98	76	0
99	77	0
